ID,Url,Description,Title,Location
8441814,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/bruxelles-ville/1000/id8441814, Bien exceptionnel , 1000 Bruxelles ville 
8516995,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8516995, Maison , 1000 Bruxelles 
7720932,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles-ville/1000/id7720932, Maison , 1000 Bruxelles ville 
8309310,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/bruxelles/1000/id8309310, Immeuble mixte , 1000 BRUXELLES 
8511201,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles-ville/1000/id8511201, Maison , 1000 Bruxelles ville 
8351002,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles-ville/1000/id8351002, Maison , 1000 Bruxelles ville 
8517690,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/bruxelles/1000/id8517690, Bien exceptionnel , 1000 Bruxelles 
7701433,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/bruxelles/1000/id7701433, Immeuble mixte , 1000 Bruxelles 
8510521,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8510521, Maison , 1000 Bruxelles 
8270182,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8270182, Maison , 1000 Bruxelles 
8241377,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/bruxelles/1000/id8241377, Immeuble mixte , 1000 Bruxelles 
7804864,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/bruxelles/1000/id7804864, Bien exceptionnel , 1000 Bruxelles 
8437993,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruxelles/1000/id8437993, Maison de MaÃ®tre , 1000 Bruxelles 
8382956,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruxelles/1000/id8382956, Maison de MaÃ®tre , 1000 Bruxelles 
8520186,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/bruxelles-ville/1000/id8520186, Immeuble Ã appartements , 1000 Bruxelles ville 
8465056,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8465056, Maison , 1000 Bruxelles 
8145502,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/bruxelles/1000/id8145502, Immeuble mixte , 1000 Bruxelles 
8510927,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/bruxelles/1000/id8510927, Immeuble Ã appartements , 1000 Bruxelles 
8136449,https://www.immoweb.be/fr/annonce/villa/a-vendre/bruxelles-1/1000/id8136449, Villa , 1000 BRUXELLES 1 
8340604,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8340604, Maison , 1000 Bruxelles 
7991002,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruxelles-1/1000/id7991002, Maison de MaÃ®tre , 1000 BRUXELLES 1 
8429597,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/bruxelles/1000/id8429597, Bien exceptionnel , 1000 Bruxelles 
8513923,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/bruxelles/1000/id8513923, Bien exceptionnel , 1000 Bruxelles 
8516024,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8516024, Maison , 1000 BRUXELLES 
8318654,https://www.immoweb.be/fr/annonce/maison/a-vendre/bruxelles/1000/id8318654, Maison , 1000 Bruxelles 
7365075,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/bruxelles-ville/1000/id7365075, Immeuble Ã appartements , 1000 Bruxelles ville 
8277048,https://www.immoweb.be/fr/annonce/maison-de-campagne/a-vendre/bruxelles-ville/1000/id8277048, Maison de campagne , 1000 Bruxelles ville 
8358595,https://www.immoweb.be/fr/annonce/villa/a-vendre/bruxelles/1000/id8358595, Villa , 1000 Bruxelles 
7957285,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruxelles/1000/id7957285, Maison de MaÃ®tre , 1000 Bruxelles 
8467981,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/bruxelles-ville/1000/id8467981, Maison de MaÃ®tre , 1000 Bruxelles ville 
